id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
247,49,B.Tech,ECE (VLSI),ELECTRONICS,50,0,,,,,,,,,,
248,49,B.Tech,CSE (Data Science),DATA_SCIENCE,50,0,,,,,,,,,,
249,49,B.Tech,CSE (Cyber Security),CYBER_SECURITY,50,0,,,,,,,,,,
250,49,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
251,50,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
252,50,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
253,50,B.Tech,Petroleum,OTHER,50,0,,,,,,,,,,
254,50,B.Tech,Electrical,ELECTRICAL,50,0,,,,,,,,,,
255,50,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
256,50,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
257,50,B.Tech,CSE (Data Analytics),DATA_SCIENCE,50,0,,,,,,,,,,
258,50,B.Tech,CSE (Bioinformatics),OTHER,50,0,,,,,,,,,,
259,51,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
260,51,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
261,51,B.Tech,CSE (Data Science),DATA_SCIENCE,50,0,,,,,,,,,,
262,51,B.Tech,IT,OTHER,50,0,,,,,,,,,,
263,51,B.Tech,Robotics,ROBOTICS,50,0,,,,,,,,,,
264,51,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
265,51,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
266,52,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
267,52,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
268,52,B.Tech,CSE (Cyber Security),CYBER_SECURITY,50,0,,,,,,,,,,
269,52,B.Tech,IT,OTHER,50,0,,,,,,,,,,
270,52,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
271,52,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
272,52,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
273,53,B.Tech,CSE ,OTHER,50,0,,,,,,,,,,
274,53,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
275,53,B.Tech,CSE (Cyber Security) ,CYBER_SECURITY,50,0,,,,,,,,,,
276,53,B.Tech,AI & DS ,DATA_SCIENCE,50,0,,,,,,,,,,
277,53,B.Tech,Mechanical (Robotics) ,ROBOTICS,50,0,,,,,,,,,,
278,53,B.Tech,ECE ,ELECTRONICS,50,0,,,,,,,,,,
279,54,B.Tech,CSE,OTHER,70,0,,,,,,,,,,
280,54,B.Tech,CSE (AI & ML),CSE_AI_ML,70,0,,,,,,,,,,
281,54,B.Tech,Cyber Security,CYBER_SECURITY,70,0,,,,,,,,,,
282,54,B.Tech,Mechanical,MECHANICAL,70,0,,,,,,,,,,
283,54,B.Tech,EEE,ELECTRICAL,70,0,,,,,,,,,,
284,54,B.Tech,Civil,CIVIL,70,0,,,,,,,,,,
285,55,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
286,55,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
287,55,B.Tech,Data Science,DATA_SCIENCE,60,0,,,,,,,,,,
288,55,B.Tech,Cyber Security,CYBER_SECURITY,60,0,,,,,,,,,,
289,55,B.Tech,ECE,ELECTRONICS,60,0,,,,,,,,,,
290,55,B.Tech,Mechanical,MECHANICAL,60,0,,,,,,,,,,
291,55,B.Tech,Civil,CIVIL,60,0,,,,,,,,,,
292,56,B.Tech,CSE,OTHER,70,70,,,,,,,,,,
293,56,B.Tech,AI / IoT / Cloud,OTHER,70,70,,,,,,,,,,
294,56,B.Tech,Core (CE/EE/ME),OTHER,70,70,,,,,,,,,,
295,56,B.Tech,Robotics,ROBOTICS,70,70,,,,,,,,,,
296,57,B.Tech,Civil,CIVIL,80,0,,,,,,,,,,
297,57,B.Tech,Mechanical,MECHANICAL,80,0,,,,,,,,,,
298,57,B.Tech,ECE,ELECTRONICS,80,0,,,,,,,,,,
299,57,B.Tech,Electrical,ELECTRICAL,80,0,,,,,,,,,,
300,57,B.Tech,CSE,OTHER,80,0,,,,,,,,,,
301,57,B.Tech,CSE (AI & ML),CSE_AI_ML,80,0,,,,,,,,,,
302,57,B.Tech,CSE (Cyber Security),CYBER_SECURITY,80,0,,,,,,,,,,
303,57,B.Tech,Data Science,DATA_SCIENCE,80,0,,,,,,,,,,
304,58,B.Tech,CSE,OTHER,80,75,,,,,,,,,,
305,58,B.Tech,AI,OTHER,80,75,,,,,,,,,,
306,58,B.Tech,Data Science,DATA_SCIENCE,80,75,,,,,,,,,,
307,58,B.Tech,ECE,ELECTRONICS,80,75,,,,,,,,,,
308,58,B.Tech,Renewable Energy,OTHER,80,75,,,,,,,,,,
309,58,B.Tech,Robotics,ROBOTICS,80,75,,,,,,,,,,
310,58,B.Tech,Smart Cities,OTHER,80,75,,,,,,,,,,
311,59,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
312,59,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
313,59,B.Tech,CSE (Cyber Security),CYBER_SECURITY,50,0,,,,,,,,,,
314,59,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
315,59,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
316,59,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
317,59,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
318,60,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
319,60,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
320,60,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
321,60,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
322,60,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
323,61,B.Tech,CSE,OTHER,75,90,,,,,,,,,,
324,61,B.Tech,CSE (AI & ML),CSE_AI_ML,75,90,,,,,,,,,,
325,61,B.Tech,CSE (AI & DS),DATA_SCIENCE,75,90,,,,,,,,,,
326,61,B.Tech,Cyber Security,CYBER_SECURITY,75,90,,,,,,,,,,
327,61,B.Tech,ICT,OTHER,75,90,,,,,,,,,,
328,62,B.Tech,CSE,OTHER,60,70,,,,,,,,,,
329,62,B.Tech,Electrical,ELECTRICAL,60,70,,,,,,,,,,
330,62,B.Tech,Civil,CIVIL,60,70,,,,,,,,,,
331,62,B.Tech,Mechanical,MECHANICAL,60,70,,,,,,,,,,
332,62,B.Tech,Automobile,MECHANICAL,60,70,,,,,,,,,,
333,63,B.Tech,CSE,OTHER,85,75,,,,,,,,,,
334,63,B.Tech,CSE (AI & ML),CSE_AI_ML,85,75,,,,,,,,,,
