id,college_id,criteria_type,min_value,max_value,scholarship_percent,scholarship_type,stackable,priority
242,106,BOARD_PERCENTAGE,90,100,30000,FLAT,TRUE,1
243,108,JEE_PERCENTILE,95,100,100,PERCENT,TRUE,1
244,108,JEE_PERCENTILE,90,94.99,75,PERCENT,TRUE,2
245,109,BOARD_PERCENTAGE,90,94.99,60,PERCENT,TRUE,4
246,109,JEE_PERCENTILE,95,100,100,PERCENT,TRUE,1
247,109,JEE_PERCENTILE,90,94.99,75,PERCENT,TRUE,2
248,109,JEE_PERCENTILE,85,89.99,50,PERCENT,TRUE,3
249,109,BOARD_PERCENTAGE,80,89.99,50,PERCENT,TRUE,5
250,109,SPORTS,NATIONAL,NATIONAL,50,PERCENT,TRUE,6
251,109,SPORTS,STATE,STATE,25,PERCENT,TRUE,7
252,109,SPORTS,DISTRICT,DISTRICT,20,PERCENT,TRUE,8
253,110,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,1
254,110,BOARD_PERCENTAGE,90,94.99,60,PERCENT,TRUE,2
255,110,BOARD_PERCENTAGE,86,89.99,40,PERCENT,TRUE,3
256,110,BOARD_PERCENTAGE,82,85.99,20,PERCENT,TRUE,4
257,110,BOARD_PERCENTAGE,75,81.99,10,PERCENT,TRUE,5
258,110,SPORTS,NATIONAL,NATIONAL,100,PERCENT,TRUE,6
259,111,BOARD_PERCENTAGE,80,100,35000,FLAT,TRUE,1
260,112,JEE_PERCENTILE,95,100,90,PERCENT,FALSE,1
261,112,JEE_PERCENTILE,85,94.99,60,PERCENT,FALSE,2
262,112,JEE_PERCENTILE,75,84.99,55,PERCENT,FALSE,3
263,112,JEE_PERCENTILE,65,74.99,50,PERCENT,FALSE,4
264,112,JEE_PERCENTILE,55,64.99,45,PERCENT,FALSE,5
265,112,SPORTS,INTERNATIONAL,INTERNATIONAL,75,PERCENT,FALSE,8
266,112,SPORTS,NATIONAL_HIGH,NATIONAL_HIGH,60,PERCENT,FALSE,9
267,112,SPORTS,DISTRICT,DISTRICT,50,PERCENT,FALSE,10
268,112,ACADEMIC_TOPPER,DISTRICT,DISTRICT,75,PERCENT,FALSE,6
269,112,ACADEMIC_TOPPER,SCHOOL,SCHOOL,60,PERCENT,FALSE,7
270,113,JEE_PERCENTILE,95,100,50,PERCENT,FALSE,1
271,113,JEE_PERCENTILE,90,94.99,30,PERCENT,FALSE,2
272,116,BOARD_PERCENTAGE,90,100,30,PERCENT,TRUE,1
273,116,SPORTS,NATIONAL,NATIONAL,20,PERCENT,TRUE,2
274,116,SPORTS,STATE,STATE,10,PERCENT,TRUE,3
275,117,BOARD_PERCENTAGE,90,100,100,PERCENT,FALSE,2
276,117,BOARD_PERCENTAGE,80,89.99,60,PERCENT,FALSE,3
277,117,BOARD_PERCENTAGE,70,79.99,25,PERCENT,FALSE,4
278,117,JEE_PERCENTILE,90,100,50,PERCENT,FALSE,1
279,117,SPORTS,NATIONAL,NATIONAL,20,PERCENT,TRUE,5
280,120,BOARD_PERCENTAGE,90,100,50,PERCENT,FALSE,1
281,120,BOARD_PERCENTAGE,75,89.99,25,PERCENT,FALSE,2
282,120,BOARD_PERCENTAGE,60,74.99,10,PERCENT,FALSE,3
283,120,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,4
284,120,SPORTS,NATIONAL,NATIONAL,75,PERCENT,TRUE,5
285,120,SPORTS,STATE,STATE,50,PERCENT,TRUE,6
286,120,SPORTS,DISTRICT,DISTRICT,25,PERCENT,TRUE,7
287,121,BOARD_PERCENTAGE,95,100,100,PERCENT,FALSE,1
288,121,BOARD_PERCENTAGE,90,94.99,100,PERCENT,FALSE,2
289,121,BOARD_PERCENTAGE,85,89.99,50,PERCENT,FALSE,3
290,122,BOARD_PERCENTAGE,95,100,75,PERCENT,FALSE,1
291,122,BOARD_PERCENTAGE,90,94.99,50,PERCENT,FALSE,2
292,122,BOARD_PERCENTAGE,80,89.99,25,PERCENT,FALSE,3
293,122,BOARD_PERCENTAGE,70,79.99,10,PERCENT,FALSE,4
294,124,BOARD_PERCENTAGE,90,100,50,PERCENT,FALSE,1
295,124,SPORTS,INTERNATIONAL,INTERNATIONAL,50,PERCENT,TRUE,2
296,124,SPORTS,NATIONAL,NATIONAL,40,PERCENT,TRUE,3
297,124,SPORTS,STATE,STATE,30,PERCENT,TRUE,4
298,124,SPORTS,DISTRICT,DISTRICT,20,PERCENT,TRUE,5
299,126,BOARD_PERCENTAGE,90,100,15,PERCENT,FALSE,1
300,126,BOARD_PERCENTAGE,75,89.99,10,PERCENT,FALSE,2
301,126,SPORTS,NATIONAL,NATIONAL,15,PERCENT,TRUE,3
302,126,SPORTS,STATE,STATE,10,PERCENT,TRUE,4
303,126,SPORTS,DISTRICT,DISTRICT,5,PERCENT,TRUE,5
304,127,JEE_PERCENTILE,93,100,50,PERCENT,FALSE,1
305,127,JEE_PERCENTILE,80,92.99,15,PERCENT,FALSE,2
